fat,Paper,Min Time,Time opt
0.1,2262851.7477162583,501686.16527178173,501686.16527178173
0.2,1021459.0186389805,501686.16527178173,498776.7453389032
0.3,651125.5160130265,501686.1652717818,498776.7453389032
0.4,593810.3876060159,501686.16527178185,498776.7453389032
0.5,579745.1913575921,501686.1652717818,498776.7453389032
0.6,580652.6382204419,501686.1652717818,498776.7453389032
0.7,573340.38833206,501686.16527178173,498776.7453389032
0.8,569925.7314157435,501686.16527178185,498776.7453389032
0.9,570331.8020375025,501686.1652717815,498776.7453389032
1,569345.7715051612,501686.1652717815,498776.7453389032
