jump,Paper,Min Time,Time opt
1,585015.3710264082,501686.16527178173,498776.7453389032
2,576680.6239616661,501686.1652717817,498776.7453389032
3,575579.1183388542,501686.1652717817,498776.7453389032
4,574531.1152121363,501686.1652717817,498776.7453389032
5,572159.8296172707,501686.1652717818,498776.7453389032
6,569510.5277130367,501686.16527178185,498776.7453389032
7,574189.8932430514,501686.1652717818,498776.7453389032
8,570043.6247583032,501686.16527178144,498776.7453389032
9,576556.5374369102,501686.1652717818,498776.7453389032
10,572775.1542044707,501686.16527178144,498776.7453389032
